stringID,original,simplification,,,
CMU_1:132,well madam from listening to your symptoms it sounds like you've got one of the flu viruses,"From listening to your symptoms, it sounds like you have the flu ",,,
CMU_1:85,i see it going from the center of your chest going up to your neck,I see it going from the centre of your chest to your neck,,,
PubMed_10:893,"With the COVID-19 outbreak, PHE and RCGP RSC have adapted existing influenza surveillance to monitor the spread of COVID-19 in the community, and this protocol sets out the basis for that collaboration.",PHE and RCGP RSC have adapted existing influenza surveillance to monitor the spread of COVID-19 in the community with the COVID-19 outbreak.,,,
PubMed_10:903,To estimate baseline susceptibility to COVID-19 in the community and estimate both symptomatic and asymptomatic exposure rates in the population through seroprevalence monitoring,Seroprevalence monitoring is used to estimate the baseline vulnerability to COVID-19 in the community and estimate both symptomatic and asymptomatic exposure rates.,,,
wiki_11:2650,"In Hong Kong, authorities are requiring a bracelet and an app for all travellers.",Hong Kong require a bracelet and an app for all travellers.,,,
wiki_13:2489,COVID-19 drug development is the research process to develop a preventative vaccine or therapeutic prescription drug that would alleviate the severity of 2019-20 coronavirus disease (COVID-19).,COVID-19 drug development is the process to develop a vaccine or drug that would reduce the severity of COVID-19.,,,
Wikipedia_handpicked_5:1867,"The impact was more severe for disadvantaged children and their families, causing interrupted learning, compromised nutrition, childcare problems, and consequent economic cost to families who could not work. In response to school closures, UNESCO recommended the use of distance learning programmes and open educational applications and platforms that schools and teachers can use to reach learners remotely and limit the disruption of education.","The impact was more severe for disadvantaged children and their families causing several disruptions. In response to school closure, UNESCO recommended the use of online learning to limit the disruption of education.",,,
Wikipedia_handpicked_5:1874,"As closures tend to occur concurrently with other interventions such as public gathering bans, it can be difficult to measure the specific impact of school closures.During the 1918-1919 influenza pandemic in the United States, school closures and public gathering bans were associated with lower total mortality rates.",It can be difficult to measure the specific impact of school closure as it happens alongside other interventions such as public gathering bans. School closures and public gathering bans were associated with lower total mortality rates during the 1918-1919 influenza pandemic in the United States.,,,
Wikivoyage_1:2197,The virus is transmitted through respiratory droplets and through objects.,The virus is spread through respiratory droplets and through objects.,,,
Wikivoyage_1:2223,Many governments around the world have advised their citizens not to travel unnecessarily amid the pandemic.,Many governments around the world have advised against unnecessary travel during the pandemic.,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
