stringID,original,simplification,comments,annotator
CMU_1:132,"bueno, señora, al escuchar sus síntomas, parece que tiene uno de los virus de la gripe",parece que tiene uno de los virus de la gripe,,Ana
CMU_1:85,veo que sube desde el centro de su pecho hasta su cuello,veo que sube desde su pecho hasta elcuello,,Ana
PubMed_10:893,"Con el brote de la COVID-19, PHE y el RSC del RCGP han adaptado la actual vigilancia de la influenza para controlar la propagación de la COVID-19 en la comunidad, y este protocolo sienta las bases para esa colaboración.","Con el brote de la COVID-19, PHE y el RSC del RCGP han adaptado la actual vigilancia de la influenza para controlar la propagación de la COVID-19 en la comunidad.",,Ana
PubMed_10:903,Estimar la susceptibilidad de referencia a la COVID-19 en la comunidad y calcular las tasas de exposición tanto sintomática como asintomática en la población a través del control de la seroprevalencia.,Estimar la susceptibilidad de referencia al COVID-19 en la comunidad y calcular las tasas de exposición  en la población a través del control de la seroprevalencia.,,Ana
wiki_11:2650,"En Hong Kong, las autoridades exigen el uso de una pulsera y una aplicación a todos los viajeros.","En Hong Kong, las autoridades exigen el uso de una pulsera y una aplicación a todos los viajeros.",NS,Ana
wiki_13:2489,El desarrollo de medicamentos contra la COVID-19 es el proceso de investigación con el fin de desarrollar una vacuna preventiva o un medicamento recetado terapéutico que alivie la gravedad de la enfermedad por coronavirus de 2019-2020 (COVID-19).,"El desarrollo de medicamentos contra la COVID-19, es el proceso de investigación con el fin de desarrollar una vacuna preventiva o un medicamento recetado terapéutico que alivie la gravedad de la enfermedad por coronavirus de 2019-2020.",,Lucia
Wikipedia_handpicked_5:1867,"El impacto fue más grave para los niños en situación de desventaja y sus familias y provocó una interrupción del aprendizaje, una alimentación comprometida, problemas con el cuidado de los niños y, en consecuencia, un costo económico para las familias que no pudieron trabajar. En respuesta al cierre de escuelas, la UNESCO recomendó el uso de programas de educación a distancia y de aplicaciones y plataformas educativas abiertas que las escuelas y los docentes pueden usar para llegar a los alumnos de manera remota y reducir la interrupción de la educación.","El impacto fue más grave para los niños en situación de desventaja y sus familias y provocó una interrupción del aprendizaje, una alimentación comprometida, problemas con el cuidado de los niños y, en consecuencia, un costo económico para las familias que no pudieron trabajar. La UNESCO recomendó el uso de programas de educación a distancia y de aplicaciones y plataformas educativas abiertas que las escuelas y los docentes pueden usar para llegar a los alumnos de manera remota y reducir la interrupción de la educación.",,Ana
Wikipedia_handpicked_5:1874,"Dado que los cierres tienden a establecerse simultáneamente con otras intervenciones, como la prohibición de reuniones públicas, puede ser difícil medir el impacto específico del cierre de las escuelas. En la pandemia de gripe de 1918 y 1919 en Estados Unidos, el cierre de escuelas y la prohibición de reuniones públicas se asociaron con tasas de mortalidad totales más bajas.","Dado que los cierres tienden a establecerse con otras intervenciones, puede ser difícil medir el impacto específico del cierre de las escuelas. En la pandemia de gripe de 1918 y 1919 en Estados Unidos, el cierre de escuelas y la prohibición de reuniones públicas se asociaron con tasas de mortalidad totales más bajas.",,Ana
Wikivoyage_1:2197,El virus se transmite por medio de las gotitas de la respiración y los objetos.,El virus se transmite por medio de gotitas de la respiración y los objetos.,,Lucia
Wikivoyage_1:2223,Muchos gobiernos de todo el mundo han recomendado a sus ciudadanos que no hagan viajes innecesarios durante la pandemia.,Muchos gobiernos han recomendado a sus ciudadanos que no hagan viajes innecesarios durante la pandemia.,,Lucia
